run_id,strategy_name,weighting,entry_rule,rebalance,rs_threshold,stop_loss_pct,reward_risk,max_pool_months,target_hit_multiplier,lookback_days,final_wealth,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,realized_return,live_return,exposure_ratio,average_positions,max_positions,turnover_events,trade_count,win_rate,target_hit_rate,stop_loss_hit_rate,average_holding_days,objective,open_position_count,status
cd1a4729208d,MTT or RS / 1N / 24M,1/N,mtt_or_rs,weekly,70.0,0.08,3.0,12,1.0,504,0.5481382901018216,-0.4518617098981784,-0.13162365508640372,0.2966984759188255,-0.4124009705165779,-0.4757804927313258,0.7246307818857336,-0.1816423734358546,-0.4857144886954293,0.033852778797250904,0.7432432432432432,3.4117117117117117,15,876,245,0.40408163265306124,0.22448979591836735,0.3836734693877551,20.514285714285716,-0.4518617098981784,12,ok
a97e15a29ddb,MTT or RS / Sharpe / 24M,sharpe,mtt_or_rs,weekly,70.0,0.08,3.0,12,1.0,504,0.5570620482257514,-0.44293795177424855,-0.12832559741524352,0.29347367251724443,-0.40783734145295,-0.47595027830986886,0.6842038027529438,-0.18755463927402352,-0.4739572231892005,0.031019271414951977,0.7432432432432432,3.4117117117117117,15,893,245,0.40408163265306124,0.22448979591836735,0.3836734693877551,20.514285714285716,-0.44293795177424855,12,ok
d78b22698ae3,MTT and RS / Sortino / 24M,sortino,mtt_and_rs,weekly,70.0,0.08,3.0,12,1.0,504,0.8212731378012557,-0.17872686219874434,-0.04516765474570439,0.25090404608420613,-0.17161075069724133,-0.1383945089397704,0.4396188884272302,-0.10274275272223878,-0.08967203051989114,-0.0890548316788532,0.4099099099099099,1.3918918918918919,8,383,122,0.39344262295081966,0.22131147540983606,0.4016393442622951,17.5327868852459,-0.17872686219874434,8,ok
fe0b485124b1,Hybrid target / CVaR / 24M,cvar,hybrid_score,biweekly,70.0,0.08,3.0,12,1.0,504,0.6104804221646036,-0.38951957783539637,-0.10938637725463929,0.26718899287843906,-0.3982453782500402,-0.4754557265226673,0.7032567924712883,-0.15554258192124776,-0.37439730990902226,-0.015122267926374111,0.7441441441441441,2.869369369369369,15,508,178,0.43820224719101125,0.21348314606741572,0.4550561797752809,24.213483146067414,-0.38951957783539637,6,ok
624f6e207f0c,Target only / Calmar / 24M,calmar,target_only,monthly,70.0,0.08,3.0,12,1.0,504,0.40071386317486407,-0.5992861368251359,-0.19319101140983597,0.2400399797041027,-0.8693742310084225,-1.017625086388746,0.7131916918982151,-0.27088230780653527,-0.7969665851355818,0.19768044831044596,0.8441441441441442,6.051351351351351,26,647,252,0.35714285714285715,0.29365079365079366,0.623015873015873,34.226190476190474,-0.5992861368251359,8,ok
a6c27b92acb7,MTT or RS / Max return / 24M,max_return,mtt_or_rs,monthly,70.0,0.08,3.0,12,1.0,504,0.9385769889155858,-0.06142301108441417,-0.014769878363696365,0.31714484735221166,0.022713698577886264,0.01682838898522319,0.42950106624207807,-0.03438845563976243,0.16387270253888736,-0.22529571362330153,0.5657657657657658,1.6666666666666667,10,234,108,0.39814814814814814,0.2962962962962963,0.5185185185185185,22.39814814814815,-0.06142301108441417,1,ok
f68bfd79cb84,MTT or RS / Min var / 24M,min_var,mtt_or_rs,weekly,70.0,0.08,3.0,12,1.0,504,0.6176592589101031,-0.3823407410898969,-0.10693896426137639,0.2944780598641955,-0.3259873831796841,-0.3772637718504726,0.699423902281362,-0.1528957816748409,-0.36959348043496676,-0.012747260654930148,0.7432432432432432,3.4117117117117117,15,911,245,0.40408163265306124,0.22448979591836735,0.3836734693877551,20.514285714285716,-0.3823407410898969,12,ok
