report_id,page,ordinal,publication_date,title,company,ticker,exchange,symbol,pdf_filename,pdf_url,report_current_price,bear_target,base_target,bull_target,target_price,target_currency,markdown_filename
84d1ea29843ddf86,3,12,2025-05-11,"Equity Research, 한화솔루션",한화솔루션,009830,KRX,009830.KS,2025-05-11_equity-research-한화솔루션-2.pdf,http://snusmic.com/wp-content/uploads/2025/05/25_1_2주차_수정보고서_5팀_한화솔루션.pdf,30300.0,29100.0,53000.0,91200.0,53000.0,KRW,2025-05-11_equity-research-한화솔루션-2.md
0f05c05b4b1f2a8a,4,2,2025-05-11,"Equity Research, HD현대미포",HD현대미포,010620,KRX,010620.KQ,2025-05-11_equity-research-hd현대미포.pdf,http://snusmic.com/wp-content/uploads/2025/05/25_1_2주차_수정보고서_3팀_HD현대미포.pdf,171700.0,,250000.0,,250000.0,KRW,2025-05-11_equity-research-hd현대미포.md
1bb9b6e58855a0e0,4,4,2025-05-11,"Equity Research, 에스앤에스텍",에스앤에스텍,101490,KRX,101490.KS,2025-05-11_equity-research-에스앤에스텍.pdf,http://snusmic.com/wp-content/uploads/2025/05/25_1_2주차_수정보고서_1팀-에스앤에스텍.pdf,34650.0,,54700.0,70600.0,54700.0,KRW,2025-05-11_equity-research-에스앤에스텍.md
e353809ab7f95a5a,4,3,2025-05-11,"Equity Research, 펄어비스",펄어비스,263750,KRX,263750.KS,2025-05-11_equity-research-펄어비스-2.pdf,http://snusmic.com/wp-content/uploads/2025/05/25_1_2주차_수정보고서_2팀_펄어비스.pdf,35400.0,,12300.0,,12300.0,KRW,2025-05-11_equity-research-펄어비스-2.md
01faac1935db0397,4,1,2025-05-11,"Equity Research, 토모큐브",토모큐브,475960,KRX,475960.KQ,2025-05-11_equity-research-토모큐브.pdf,http://snusmic.com/wp-content/uploads/2025/05/25_1_2주차_수정보고서_4팀_토모큐브.pdf,19420.0,,64550.0,280470.0,64550.0,KRW,2025-05-11_equity-research-토모큐브.md
bbab46d3dd8a3f85,3,11,2025-05-25,"Equity Research, Cellebrite DI",Cellebrite DI,CLBT,NASDAQ,CLBT,2025-05-25_equity-research-cellebrite-di.pdf,http://snusmic.com/wp-content/uploads/2025/05/25-1_3주차-수정보고서_1팀-Cellebrite-DI.pdf,17.27,,29.7,,29.7,USD,2025-05-25_equity-research-cellebrite-di.md
7fb05aedf5c36329,3,8,2025-05-25,"Equity Research, Doximity",Doximity,DOCS,NYSE,DOCS,2025-05-25_equity-research-doximity.pdf,http://snusmic.com/wp-content/uploads/2025/05/25-1_3주차-수정보고서_4팀_Doximity.pdf,46.25,,1.0,,1.0,USD,2025-05-25_equity-research-doximity.md
d5988bbc6133df7a,3,7,2025-05-25,"Equity Research, Life360 Inc",Life360 Inc,LIF,NASDAQ,LIF,2025-05-25_equity-research-life360-inc.pdf,http://snusmic.com/wp-content/uploads/2025/05/25-1_3주차-수정보고서_5팀-life360-Inc.pdf,,,103.4,,103.4,USD,2025-05-25_equity-research-life360-inc.md
c0d220935d719173,3,9,2025-05-25,"Equity Research, Sportradar",Sportradar,SRAD,NASDAQ,SRAD,2025-05-25_equity-research-sportradar.pdf,http://snusmic.com/wp-content/uploads/2025/05/25-1_3주차-수정보고서_3팀-Sportradar.pdf,23.72,,37.92,,37.92,USD,2025-05-25_equity-research-sportradar.md
9d0162fe797ae227,3,10,2025-05-25,"Equity Research, Tempus AI Inc",Tempus AI Inc,TEM,NASDAQ,TEM,2025-05-25_equity-research-tempus-ai-inc.pdf,http://snusmic.com/wp-content/uploads/2025/05/25-1_3주차-수정보고서_2팀_Tempus-AI.pdf,62.6,,228.5,,228.5,USD,2025-05-25_equity-research-tempus-ai-inc.md
c982973fa066bddb,3,5,2025-06-10,"Equity Research, 고려신용정보",고려신용정보,049720,KRX,049720.KQ,2025-06-10_equity-research-고려신용정보-2.pdf,http://snusmic.com/wp-content/uploads/2025/06/25-1_4주차_수정보고서_2팀_고려신용정보.pdf,10400.0,,18600.0,,18600.0,KRW,2025-06-10_equity-research-고려신용정보-2.md
2910aa572b92adb8,3,3,2025-06-10,"Equity Research, 월덱스",월덱스,101160,KRX,101160.KS,2025-06-10_equity-research-월덱스.pdf,http://snusmic.com/wp-content/uploads/2025/06/25_1_4주차_수정보고서_4팀_월덱스.pdf,19010.0,,26250.0,,26250.0,KRW,2025-06-10_equity-research-월덱스.md
b41fea0be194d049,3,2,2025-06-10,"Equity Research, 애니플러스",애니플러스,310200,KRX,310200.KS,2025-06-10_equity-research-애니플러스-2.pdf,http://snusmic.com/wp-content/uploads/2025/06/25_1_4주차_수정보고서_5팀_애니플러스.pdf,3550.0,,7680.0,,7680.0,KRW,2025-06-10_equity-research-애니플러스-2.md
a70e9858440a38cb,3,6,2025-06-10,"Equity Research, 아이스크림미디어",아이스크림미디어,461300,KRX,461300.KQ,2025-06-10_equity-research-아이스크림미디.pdf,http://snusmic.com/wp-content/uploads/2025/06/25_1_4주차_수정보고서_1팀_아이스크림미디어.pdf,15780.0,,25700.0,,25700.0,KRW,2025-06-10_equity-research-아이스크림미디.md
4f300b7b1015144a,3,4,2025-06-10,"Equity Research, 폰드그룹",폰드그룹,472850,KRX,472850.KQ,2025-06-10_equity-research-폰드그룹.pdf,http://snusmic.com/wp-content/uploads/2025/06/25_1_4주차_수정보고서_3팀_폰드그룹.pdf,8480.0,,16057.0,,16057.0,KRW,2025-06-10_equity-research-폰드그룹.md
8bdb15bd98395436,2,10,2025-10-23,"Equity Research, 마이크로컨텍솔",마이크로컨텍솔,098120,KRX,098120.KS,2025-10-23_equity-research-마이크로컨텍솔.pdf,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차-수정보고서_4팀_마이크로컨텍솔.pdf,26300.0,,58200.0,,58200.0,KRW,2025-10-23_equity-research-마이크로컨텍솔.md
060bd0dbb9e09381,2,9,2025-10-23,"Equity Research, 로보티즈",로보티즈,108490,KRX,108490.KS,2025-10-23_equity-research-로보티즈.pdf,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차_수정보고서_5팀_로보티즈.pdf,192200.0,250900.0,355800.0,646500.0,355800.0,KRW,2025-10-23_equity-research-로보티즈.md
aac52e33534372f2,3,1,2025-10-23,"Equity Research, 하이브",하이브,352820,KRX,352820.KS,2025-10-23_equity-research-하이브-3.pdf,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차-수정보고서_1팀_하이브.pdf,269500.0,,393000.0,,393000.0,KRW,2025-10-23_equity-research-하이브-3.md
