trial,name,weighting,entry_rule,mtt_slope_months,max_pool_months,target_hit_multiplier,stop_loss_pct,reward_risk,rebalance,lookback_days,risk_free_rate,min_target_upside,exit_on_signal_loss,allow_reentry,run_id,strategy_name,final_wealth,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,realized_return,live_return,exposure_ratio,average_positions,max_positions,turnover_events,trade_count,win_rate,target_hit_rate,stop_loss_hit_rate,average_holding_days,objective,open_position_count,status
0,optuna_000,max_return,mtt,1,3,1.1,0.08,2.0,biweekly,504,0.03,0.2,True,True,de7c1da707b0,optuna_000,0.5821648254719268,-0.41783517452807317,-0.09412128829639277,0.3426836962396176,-0.20222024222492013,-0.22448146542411174,0.6054412870069108,-0.1554589855635637,-0.2223744014512369,-0.19546077307683626,0.5827489481065918,1.8092566619915849,11,486,211,0.4075829383886256,0.24644549763033174,0.3886255924170616,16.862559241706162,-0.41783517452807317,0,ok
1,optuna_001,1/N,mtt_target,2,3,1.1,0.06,3.0,monthly,126,0.03,0.2,True,True,37944396d5c0,optuna_001,1.4329289726618424,0.4329289726618424,0.06793495457743659,0.17687367257664482,0.27866789048177937,0.20905271671601647,0.39503573479208676,0.1719716688749482,0.44867513035660384,-0.015746157694761453,0.3744740532959327,0.8548387096774194,7,190,91,0.43956043956043955,0.1978021978021978,0.38461538461538464,18.615384615384617,0.4329289726618424,0,ok
2,optuna_002,max_return,target_only,2,6,1.0,0.1,2.0,monthly,126,0.03,0.2,True,True,c7a03e89e307,optuna_002,0.43068300981681057,-0.5693169901831894,-0.14265694434929166,0.28381559002769746,-0.4880032723941089,-0.5429531803883033,0.7414713536432052,-0.19239710832839263,-0.619765455601984,0.050448465418794664,0.9621318373071529,8.290322580645162,20,1144,465,0.4129032258064516,0.28817204301075267,0.5032258064516129,34.63655913978494,-0.5693169901831894,6,ok
3,optuna_003,min_var,target_only,5,9,1.1,0.12,2.0,biweekly,63,0.03,0.1,True,True,f8ba5cbdcd9f,optuna_003,1.807741020757272,0.8077410207572719,0.11425089706005354,0.22531999217239415,0.4433302650603935,0.5784693006998306,0.46011454839770194,0.24830968170408793,0.6791500201458082,0.12859100061146378,0.9901823281907434,18.54978962131837,35,3239,785,0.4356687898089172,0.28280254777070063,0.5235668789808917,45.92866242038217,0.8077410207572719,16,ok
4,optuna_004,sharpe,mtt,4,12,1.1,0.1,3.0,daily,252,0.03,0.2,True,True,69d34a84a874,optuna_004,3.783170207405452,2.783170207405452,0.275215908928262,0.3150421276821881,0.8112848520560034,1.0015568146980018,0.2951314402086601,0.9325197909571488,1.5677429334118913,1.2154272739935608,0.9607293127629734,5.258765778401122,14,5358,906,0.4304635761589404,0.0640176600441501,0.09381898454746136,11.387417218543046,2.783170207405452,12,ok
5,optuna_005,calmar,target_only,2,6,1.3,0.06,4.0,monthly,63,0.03,0.2,True,True,137a03058d99,optuna_005,0.4938392513521644,-0.5061607486478357,-0.12095101307275624,0.2270779770017047,-0.5669106815580774,-0.6113021095792223,0.7043389751965582,-0.17172273199705118,-0.5704615041140078,0.06430075546617209,0.9523141654978962,7.145161290322581,20,1227,538,0.3141263940520446,0.19516728624535315,0.6449814126394052,25.79182156133829,-0.5061607486478357,6,ok
6,optuna_006,sharpe,mtt,4,9,1.5,0.06,4.0,weekly,126,0.03,0.0,True,True,7ada5b5b6a72,optuna_006,2.621782974666438,1.6217829746664378,0.19257162436416952,0.28354182918639165,0.6366303633844606,0.8736431356322455,0.3059880310660439,0.6293436501201095,1.1365694487598217,0.48521352590661615,0.94109396914446,4.732819074333801,14,1783,546,0.37545787545787546,0.1446886446886447,0.43772893772893773,16.571428571428573,1.6217829746664378,11,ok
7,optuna_007,sharpe,mtt_target,5,3,1.1,0.1,4.0,daily,63,0.03,0.2,True,True,e2648deb8bfc,optuna_007,2.6700766519708794,1.6700766519708794,0.19655554164064615,0.30848710146646385,0.6181806623001234,0.7389189546966596,0.3457572217220297,0.5684784851686084,1.2449884661091448,0.4250881858617346,0.6199158485273493,1.9403927068723703,11,2211,384,0.4557291666666667,0.0078125,0.0859375,10.0859375,1.6700766519708794,4,ok
